t,cmdty,market_id,market_name,state_id,state_name,district_id,district_name,variety,p_min,p_max,p_modal
"2025-08-13","Brinjal","10336","Balugaon","18","Assam","325","Darrang","Brinjal","1200","1500","1200"
"2025-08-12","Brinjal","10342","Bilasipara","18","Assam","301","Dhubri","Brinjal","1400","2000","1600"
"2025-08-12","Brinjal","1881","Dhekiajuli","18","Assam","306","Sonitpur","Brinjal","2500","2600","2600"
"2025-08-12","Brinjal","10373","Mukalmua","18","Assam","323","Nalbari","Brinjal","1500","2400","2000"
"2025-08-12","Brinjal","10375","Baginadi","18","Assam","307","Lakhimpur","Brinjal","1800","2400","2300"
"2025-08-12","Brinjal","409","Jorhat","18","Assam","312","Jorhat","Brinjal","2000","2400","2400"
"2025-08-12","Brinjal","10350","Simlitola","18","Assam","302","Goalpara","Brinjal","1400","1800","1500"
"2025-08-12","Brinjal","10384","Barpeta Road","18","Assam","303","Barpeta","Brinjal","1200","1800","1800"
"2025-08-12","Brinjal","10336","Balugaon","18","Assam","325","Darrang","Brinjal","1200","1500","1300"
"2025-08-11","Brinjal","10336","Balugaon","18","Assam","325","Darrang","Brinjal","1200","1500","1300"
"2025-08-11","Brinjal","1881","Dhekiajuli","18","Assam","306","Sonitpur","Brinjal","2500","3000","3000"
"2025-08-11","Brinjal","1885","Nalbari","18","Assam","323","Nalbari","Brinjal","2400","3000","2600"
"2025-08-11","Brinjal","10374","Anand Bazar","18","Assam","307","Lakhimpur","Brinjal","2000","2400","2400"
"2025-08-11","Brinjal","409","Jorhat","18","Assam","312","Jorhat","Brinjal","2500","2800","2800"
"2025-08-11","Brinjal","10345","Darangiri Banana Market","18","Assam","302","Goalpara","Brinjal","1500","2000","1700"
"2025-08-11","Brinjal","10384","Barpeta Road","18","Assam","303","Barpeta","Brinjal","1200","1800","1700"
"2025-08-11","Brinjal","10343","Chapar","18","Assam","301","Dhubri","Brinjal","1600","2000","2000"
"2025-08-10","Brinjal","10372","Kumrikata","18","Assam","323","Nalbari","Brinjal","2000","2400","2000"
"2025-08-10","Brinjal","10384","Barpeta Road","18","Assam","303","Barpeta","Brinjal","1200","1800","1500"
"2025-08-07","Brinjal","10384","Barpeta Road","18","Assam","303","Barpeta","Brinjal","1200","1888","1800"
"2025-08-07","Brinjal","1881","Dhekiajuli","18","Assam","306","Sonitpur","Brinjal","2500","2600","2600"
"2025-08-07","Brinjal","1885","Nalbari","18","Assam","323","Nalbari","Brinjal","2400","3000","2600"
"2025-08-07","Brinjal","10336","Balugaon","18","Assam","325","Darrang","Brinjal","1200","1600","1400"
"2025-08-07","Brinjal","10378","Kakoi Weekly Market","18","Assam","307","Lakhimpur","Brinjal","1800","2300","2200"
"2025-08-07","Brinjal","409","Jorhat","18","Assam","312","Jorhat","Brinjal","2000","2200","2200"
"2025-08-07","Brinjal","10349","Sonari","18","Assam","302","Goalpara","Brinjal","1500","2000","1700"
"2025-08-06","Brinjal","409","Jorhat","18","Assam","312","Jorhat","Brinjal","3000","3200","3200"
"2025-08-06","Brinjal","1881","Dhekiajuli","18","Assam","306","Sonitpur","Brinjal","2800","3200","3200"
"2025-08-06","Brinjal","10371","Dhamdhama","18","Assam","323","Nalbari","Brinjal","2000","2400","2400"
"2025-08-06","Brinjal","10347","Krishnai","18","Assam","302","Goalpara","Brinjal","1500","2000","1800"
"2025-08-06","Brinjal","10384","Barpeta Road","18","Assam","303","Barpeta","Brinjal","1200","1800","1700"
"2025-08-06","Brinjal","10336","Balugaon","18","Assam","325","Darrang","Brinjal","1200","1500","1300"
"2025-08-05","Brinjal","10336","Balugaon","18","Assam","325","Darrang","Brinjal","1200","1500","1400"
"2025-08-05","Brinjal","1881","Dhekiajuli","18","Assam","306","Sonitpur","Brinjal","2500","2700","2700"
"2025-08-05","Brinjal","10373","Mukalmua","18","Assam","323","Nalbari","Brinjal","2400","3000","3000"
"2025-08-05","Brinjal","10375","Baginadi","18","Assam","307","Lakhimpur","Brinjal","1700","2000","1800"
"2025-08-05","Brinjal","409","Jorhat","18","Assam","312","Jorhat","Brinjal","3000","3200","3200"
"2025-08-05","Brinjal","10350","Simlitola","18","Assam","302","Goalpara","Brinjal","1200","1800","1700"
"2025-08-05","Brinjal","10384","Barpeta Road","18","Assam","303","Barpeta","Brinjal","1200","1700","1500"
"2025-08-05","Brinjal","10342","Bilasipara","18","Assam","301","Dhubri","Brinjal","1800","2000","2000"
"2025-08-04","Brinjal","10343","Chapar","18","Assam","301","Dhubri","Brinjal","1600","2000","2000"
"2025-08-04","Brinjal","1885","Nalbari","18","Assam","323","Nalbari","Brinjal","2400","3000","2600"
"2025-08-04","Brinjal","10374","Anand Bazar","18","Assam","307","Lakhimpur","Brinjal","1500","1800","1800"
"2025-08-04","Brinjal","10345","Darangiri Banana Market","18","Assam","302","Goalpara","Brinjal","1500","2000","1800"
"2025-08-04","Brinjal","10384","Barpeta Road","18","Assam","303","Barpeta","Brinjal","1000","1500","1500"
"2025-08-04","Brinjal","10336","Balugaon","18","Assam","325","Darrang","Brinjal","1200","1500","1200"
"2025-08-03","Brinjal","10372","Kumrikata","18","Assam","323","Nalbari","Brinjal","1600","2000","2000"
"2025-08-03","Brinjal","10384","Barpeta Road","18","Assam","303","Barpeta","Brinjal","1200","1700","1500"
"2025-08-02","Brinjal","10342","Bilasipara","18","Assam","301","Dhubri","Brinjal","1600","2000","2000"
"2025-08-02","Brinjal","10371","Dhamdhama","18","Assam","323","Nalbari","Brinjal","2400","3000","2600"
"2025-08-02","Brinjal","10376","Ghilamara","18","Assam","307","Lakhimpur","Brinjal","1600","2000","2000"
"2025-08-02","Brinjal","10356","Mariani","18","Assam","312","Jorhat","Brinjal","2800","3000","3000"
"2025-08-02","Brinjal","10346","Jaleswar","18","Assam","302","Goalpara","Brinjal","1400","1700","1600"
"2025-08-02","Brinjal","10384","Barpeta Road","18","Assam","303","Barpeta","Brinjal","1000","1500","1500"
"2025-08-02","Brinjal","10339","Tangni","18","Assam","325","Darrang","Brinjal","1000","1500","1200"
"2025-08-01","Brinjal","10343","Chapar","18","Assam","301","Dhubri","Brinjal","1500","1800","1600"
"2025-08-01","Brinjal","1881","Dhekiajuli","18","Assam","306","Sonitpur","Brinjal","2600","2700","2700"
"2025-08-01","Brinjal","1885","Nalbari","18","Assam","323","Nalbari","Brinjal","2400","2600","2600"
"2025-08-01","Brinjal","409","Jorhat","18","Assam","312","Jorhat","Brinjal","2700","3000","3000"
"2025-08-01","Brinjal","10348","Lakhipur","18","Assam","302","Goalpara","Brinjal","1200","1800","1500"
"2025-08-01","Brinjal","10384","Barpeta Road","18","Assam","303","Barpeta","Brinjal","1200","1700","1700"
"2025-08-01","Brinjal","10337","Banglagarh","18","Assam","325","Darrang","Brinjal","1000","1500","1100"
"2025-07-31","Brinjal","10384","Barpeta Road","18","Assam","303","Barpeta","Brinjal","1000","1500","1500"
"2025-07-31","Brinjal","1881","Dhekiajuli","18","Assam","306","Sonitpur","Brinjal","1800","2200","2200"
"2025-07-31","Brinjal","1885","Nalbari","18","Assam","323","Nalbari","Brinjal","2000","2400","2400"
"2025-07-31","Brinjal","10378","Kakoi Weekly Market","18","Assam","307","Lakhimpur","Brinjal","1500","2000","1700"
"2025-07-31","Brinjal","10349","Sonari","18","Assam","302","Goalpara","Brinjal","1500","2000","2000"
"2025-07-31","Brinjal","10336","Balugaon","18","Assam","325","Darrang","Brinjal","1000","1500","1000"
"2025-07-30","Brinjal","10384","Barpeta Road","18","Assam","303","Barpeta","Brinjal","1000","1500","1400"
"2025-07-30","Brinjal","1881","Dhekiajuli","18","Assam","306","Sonitpur","Brinjal","2600","2700","2700"
"2025-07-30","Brinjal","10371","Dhamdhama","18","Assam","323","Nalbari","Brinjal","2000","2400","2000"
"2025-07-30","Brinjal","409","Jorhat","18","Assam","312","Jorhat","Brinjal","2800","3000","3000"
"2025-07-29","Brinjal","1881","Dhekiajuli","18","Assam","306","Sonitpur","Brinjal","2400","2500","2500"
"2025-07-29","Brinjal","10373","Mukalmua","18","Assam","323","Nalbari","Brinjal","1400","1600","1600"
"2025-07-29","Brinjal","10375","Baginadi","18","Assam","307","Lakhimpur","Brinjal","1500","1800","1800"
"2025-07-29","Brinjal","409","Jorhat","18","Assam","312","Jorhat","Brinjal","2700","2800","2800"
"2025-07-29","Brinjal","10350","Simlitola","18","Assam","302","Goalpara","Brinjal","1000","1200","1200"
"2025-07-29","Brinjal","10384","Barpeta Road","18","Assam","303","Barpeta","Brinjal","1000","1500","1200"
"2025-07-29","Brinjal","10336","Balugaon","18","Assam","325","Darrang","Brinjal","900","1200","1000"
"2025-07-28","Brinjal","10336","Balugaon","18","Assam","325","Darrang","Brinjal","1000","1500","1000"
"2025-07-28","Brinjal","10343","Chapar","18","Assam","301","Dhubri","Brinjal","1400","1600","1500"
"2025-07-28","Brinjal","1881","Dhekiajuli","18","Assam","306","Sonitpur","Brinjal","2200","2500","2500"
"2025-07-28","Brinjal","1885","Nalbari","18","Assam","323","Nalbari","Brinjal","1600","2000","2000"
"2025-07-28","Brinjal","10374","Anand Bazar","18","Assam","307","Lakhimpur","Brinjal","1600","2000","1800"
"2025-07-28","Brinjal","409","Jorhat","18","Assam","312","Jorhat","Brinjal","2500","2600","2600"
"2025-07-28","Brinjal","10345","Darangiri Banana Market","18","Assam","302","Goalpara","Brinjal","1000","1600","1400"
"2025-07-28","Brinjal","10384","Barpeta Road","18","Assam","303","Barpeta","Brinjal","1000","1500","1200"
"2025-07-27","Brinjal","10372","Kumrikata","18","Assam","323","Nalbari","Brinjal","1500","2000","1600"
"2025-07-27","Brinjal","10384","Barpeta Road","18","Assam","303","Barpeta","Brinjal","1000","1500","1200"
"2025-07-25","Brinjal","409","Jorhat","18","Assam","312","Jorhat","Brinjal","2200","2400","2400"
"2025-07-25","Brinjal","1881","Dhekiajuli","18","Assam","306","Sonitpur","Brinjal","2700","2800","2800"
